15,18.545,631.05,823.22,75.329,0.025566
15,18.818,630.72,822.04,75.357,0.039695
15,19.091,630.39,820.86,75.385,0.053822
15,19.364,630.07,819.68,75.412,0.067947
15,19.636,629.74,818.5,75.44,0.082069
15,19.909,629.41,817.32,75.468,0.096189
15,20.182,629.09,816.13,75.496,0.11031
15,20.455,628.76,814.95,75.523,0.12442
15,20.727,628.43,813.77,75.551,0.13854
15,21.273,627.78,811.41,75.607,0.16676
15,21.545,627.45,810.23,75.634,0.18086
15,21.818,627.13,809.05,75.662,0.19497
15,22.091,626.8,807.87,75.69,0.20907
15,22.364,626.47,806.69,75.718,0.22317
15,22.636,626.15,805.51,75.746,0.23727
15,22.909,625.82,804.33,75.773,0.25137
15,23.182,625.49,803.15,75.801,0.26546
15,23.455,625.17,801.97,75.829,0.27955
15,24,624.52,799.6,75.884,0.30773
15,24.273,624.19,798.42,75.912,0.32181
15,24.545,623.86,797.24,75.94,0.33589
15,24.818,623.54,796.06,75.968,0.34997
15,25.091,623.21,794.88,75.995,0.36405
15,25.364,622.88,793.7,76.023,0.37813
15,25.636,622.56,792.52,76.051,0.3922
15,25.909,622.23,791.34,76.079,0.40627
15,26.182,621.9,790.16,76.106,0.42034
15,26.727,621.25,787.8,76.162,0.44848
15,27,620.92,786.61,76.19,0.46254
15,27.273,620.6,785.43,76.217,0.4766
15,27.545,620.27,784.25,76.245,0.49066
15,27.818,619.94,783.07,76.273,0.50471
15,28.091,619.62,781.89,76.301,0.51877
15,28.364,619.29,780.71,76.329,0.53282
15,28.636,618.96,779.53,76.356,0.54687
15,28.909,618.64,778.35,76.384,0.56092
15,29.455,617.98,775.99,76.44,0.58901
15,29.727,617.66,774.81,76.467,0.60305
15,30,617.33,773.63,76.495,0.61709
15.354,18,631.6,824.32,75.263,0.010689
15.354,18.273,631.28,823.14,75.29,0.024821
15.354,18.545,630.95,821.96,75.318,0.038951
15.354,18.818,630.62,820.78,75.346,0.053079
15.354,19.091,630.3,819.6,75.374,0.067204
15.354,19.364,629.97,818.41,75.401,0.081328
15.354,19.909,629.32,816.05,75.457,0.10957
15.354,20.182,628.99,814.87,75.485,0.12368
15.354,20.455,628.66,813.69,75.512,0.1378
15.354,20.727,628.34,812.51,75.54,0.15191
15.354,21,628.01,811.33,75.568,0.16602
15.354,21.273,627.68,810.15,75.596,0.18013
15.354,21.545,627.36,808.97,75.624,0.19423
15.354,21.818,627.03,807.79,75.651,0.20834
15.354,22.091,626.7,806.61,75.679,0.22244
15.354,22.636,626.05,804.25,75.735,0.25064
15.354,22.909,625.72,803.06,75.762,0.26473
15.354,23.182,625.4,801.88,75.79,0.27882
15.354,23.455,625.07,800.7,75.818,0.29291
15.354,23.727,624.74,799.52,75.846,0.307
15.354,24,624.42,798.34,75.873,0.32109
15.354,24.273,624.09,797.16,75.901,0.33517
15.354,24.545,623.77,795.98,75.929,0.34925
15.354,24.818,623.44,794.8,75.957,0.36333
15.354,25.364,622.79,792.44,76.012,0.39148
15.354,25.636,622.46,791.26,76.04,0.40556
15.354,25.909,622.13,790.08,76.068,0.41963
15.354,26.182,621.81,788.89,76.095,0.43369
15.354,26.455,621.48,787.71,76.123,0.44776
15.354,26.727,621.15,786.53,76.151,0.46182
15.354,27,620.83,785.35,76.179,0.47589
15.354,27.273,620.5,784.17,76.207,0.48995
15.354,27.545,620.17,782.99,76.234,0.504
15.354,28.091,619.52,780.63,76.29,0.53211
15.354,28.364,619.19,779.45,76.318,0.54616
15.354,28.636,618.87,778.27,76.345,0.56021
15.354,28.909,618.54,777.09,76.373,0.57426
15.354,29.182,618.21,775.91,76.401,0.5883
15.354,29.455,617.89,774.72,76.429,0.60234
15.354,29.727,617.56,773.54,76.456,0.61638
15.354,30,617.23,772.36,76.484,0.63042
15.707,17.727,631.83,824.24,75.224,0.009942
15.707,18.273,631.18,821.88,75.279,0.038206
15.707,18.545,630.85,820.69,75.307,0.052335
15.707,18.818,630.53,819.51,75.335,0.066462
15.707,19.091,630.2,818.33,75.363,0.080586
15.707,19.364,629.87,817.15,75.39,0.094708
15.707,19.636,629.55,815.97,75.418,0.10883
15.707,19.909,629.22,814.79,75.446,0.12295
15.707,20.182,628.89,813.61,75.474,0.13706
15.707,20.455,628.57,812.43,75.502,0.15117
15.707,21,627.91,810.07,75.557,0.17939
15.707,21.273,627.59,808.89,75.585,0.1935
15.707,21.545,627.26,807.71,75.613,0.20761
15.707,21.818,626.93,806.52,75.64,0.22171
15.707,22.091,626.61,805.34,75.668,0.23581
15.707,22.364,626.28,804.16,75.696,0.24991
15.707,22.636,625.95,802.98,75.724,0.264
15.707,22.909,625.63,801.8,75.751,0.27809
15.707,23.182,625.3,800.62,75.779,0.29219
15.707,23.727,624.65,798.26,75.835,0.32036
15.707,24,624.32,797.08,75.862,0.33445
15.707,24.273,624,795.9,75.89,0.34853
15.707,24.545,623.67,794.72,75.918,0.36261
15.707,24.818,623.34,793.54,75.946,0.37669
15.707,25.091,623.02,792.36,75.973,0.39076
15.707,25.364,622.69,791.17,76.001,0.40484
15.707,25.636,622.36,789.99,76.029,0.41891
15.707,25.909,622.04,788.81,76.057,0.43298
15.707,26.455,621.38,786.45,76.112,0.46111
15.707,26.727,621.06,785.27,76.14,0.47517
15.707,27,620.73,784.09,76.168,0.48923
15.707,27.273,620.4,782.91,76.196,0.50329
15.707,27.545,620.08,781.73,76.223,0.51735
15.707,27.818,619.75,780.55,76.251,0.5314
15.707,28.091,619.42,779.37,76.279,0.54545
15.707,28.364,619.1,778.19,76.307,0.5595
